phase,reveal_order,priority,overall,company,city,state,biz_type,apollo_emp,revenue,est_premium,likely_asian,in_kc_metro,is_food,website,phone
Phase 1 - Asian-owned,1,HIGH,4.8,"Nationwide Transportation and Logistics Services, Inc.",Shawnee,Kansas,contractor,25,"$10,442,000",$20K+,Yes,Yes,No,http://www.nationwidetransportation.com,'+1 913-888-1685
Phase 1 - Asian-owned,2,HIGH,4.8,Bo Lings Chinese Restaurant,Kansas City,Missouri,asian restaurant,41,"$11,901,000",$20K+,Yes,Yes,Yes,http://www.bolings.com,'+1 816-753-1718
Phase 1 - Asian-owned,3,HIGH,4.8,Lulu's Thai Noodle Shop,Kansas City,Missouri,asian restaurant,27,"$20,614,000",$20K+,Yes,Yes,Yes,http://www.lulusnoodles.com,'+1 816-474-8424
Phase 1 - Asian-owned,4,HIGH,4.8,Nara Restaurant,Kansas City,Missouri,restaurant (general),15,"$19,111,000",$20K+,Yes,Yes,Yes,http://www.1617eventspace.com,'+1 816-221-0362
Phase 1 - Asian-owned,5,HIGH,4.8,Foxx Equipment Company,Kansas City,Kansas,restaurant (general),43,"$23,170,000",$20K+,Yes,Yes,Yes,http://www.foxxequipment.com,'+1 816-421-3600
Phase 1 - Asian-owned,6,HIGH,4.8,Happy Wok Chinese,Kansas City,Missouri,asian restaurant,19,,$20K+,Yes,Yes,Yes,http://www.happywokchinese.com,'+1 973-300-1536
Phase 1 - Asian-owned,7,HIGH,4.8,Twin Dragon,Saint Joseph,Missouri,restaurant (general),24,"$13,752,000",$20K+,Yes,,Yes,http://www.twindragonsj.com,'+1 816-689-0061
Phase 1 - Asian-owned,8,HIGH,4.7,"NCES, Inc",Olathe,Kansas,"health, wellness & fitness",24,"$11,959,000",$20K+,Yes,Yes,No,http://www.ncescatalog.com,'+1 877-623-7266
Phase 1 - Asian-owned,9,HIGH,4.7,Baird Realty Group,Lee's Summit,Missouri,real estate,16,"$16,980,000",$20K+,Yes,Yes,No,http://www.bairdrealtygrp.com,'+1 816-524-1923
Phase 1 - Asian-owned,10,HIGH,4.7,Fulfillment Plus,North Kansas City,Missouri,nonprofit,14,"$10,247,000",$20K+,Yes,Yes,No,http://www.fulfillment-kc.com,'+1 816-221-4700
Phase 1 - Asian-owned,11,HIGH,4.6,Fuji Japanese Steak House,Liberty,Missouri,asian restaurant,23,,$10K-$20K,Yes,Yes,Yes,http://www.fujilibertytogo.com,'+1 816-439-5150
Phase 1 - Asian-owned,12,HIGH,4.6,Chinese Grocery Store,Manhattan,Kansas,asian restaurant,25,,$10K-$20K,Yes,Yes,Yes,http://www.crunchbearmarket.com,'+1 785-802-5040
Phase 1 - Asian-owned,13,HIGH,4.6,Summit Hospitality Group,Lee's Summit,Missouri,restaurant (general),29,,$10K-$20K,Yes,Yes,Yes,http://www.summitgrillkc.com,'+1 816-795-1299
