priority,overall_score,company,city,state,biz_type,apollo_emp,est_actual_staff,revenue,num_locations,est_premium,likely_asian,in_kc_metro,is_food,prem_score,fit_score,acc_score,under_score,website,phone,notes
HIGH,5.0,Cupini's Inc.,Kansas City,Missouri,catering/food truck,22,44,12600000,2,$20K+,Yes,Yes,Yes,5,5,5,5,http://www.cupinis.com,'+1 816-753-7662,"Asian/ethnic cuisine; KC metro; $12,600,000 rev; 2 locations"
HIGH,4.9,Headrush Roasters Coffee & Tea,Kansas City,Missouri,bar/brewery,11,38,12636000,1,$20K+,Yes,Yes,Yes,5,5,5,4.5,http://www.headrushroasters.com,'+1 816-888-4675,"Asian/ethnic cuisine; KC metro; $12,636,000 rev"
HIGH,4.9,Lulu's Thai Noodle Shop,Kansas City,Missouri,bar/brewery,27,94,20614000,1,$20K+,Yes,Yes,Yes,5,5,5,4.5,http://www.lulusnoodles.com,'+1 816-474-8424,"Asian/ethnic cuisine; KC metro; $20,614,000 rev"
HIGH,4.9,TikiTaco,Kansas City,Missouri,bar/brewery,19,66,17223000,1,$20K+,Yes,Yes,Yes,5,5,5,4.5,http://www.tikitaco.com,'+1 609-492-2328,"Asian/ethnic cuisine; KC metro; $17,223,000 rev"
HIGH,4.8,Gold China,Independence,Missouri,full-service restaurant,14,63,,1,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.goldchinamiami.com,'+1 305-233-6501,Asian/ethnic cuisine; KC metro
HIGH,4.8,Golden palace,Olathe,Kansas,full-service restaurant,18,81,,1,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.goldenpalaceolathe.com,'+1 913-780-1511,Asian/ethnic cuisine; KC metro
HIGH,4.8,Bones Co,Ottawa,Kansas,bar/brewery,21,74,,1,$20K+,Yes,No,Yes,5,5,5,4.0,http://www.bonesdenver.com,'+1 303-860-2929,Asian/ethnic cuisine; MO/KS territory
HIGH,4.8,Summit Hospitality Group,Lee's Summit,Missouri,bar/brewery,29,102,,1,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.summitgrillkc.com,'+1 816-795-1299,Asian/ethnic cuisine; KC metro
HIGH,4.8,Nara Restaurant,Kansas City,Missouri,full-service restaurant,15,68,19111000,1,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.1617eventspace.com,'+1 816-221-0362,"Asian/ethnic cuisine; KC metro; $19,111,000 rev"
HIGH,4.8,Swagat Fine Indian Cuisine,Kansas City,Missouri,full-service restaurant,14,63,14552000,1,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.swagatkc.com,'+1 816-746-9400,"Asian/ethnic cuisine; KC metro; $14,552,000 rev"
HIGH,4.8,Happy Wok Chinese,Kansas City,Missouri,full-service restaurant,19,86,,2,$20K+,Yes,Yes,Yes,5,5,5,4.0,http://www.happywokchinese.com,'+1 973-300-1536,Asian/ethnic cuisine; KC metro; 2 locations
HIGH,4.8,Twin Dragon,Saint Joseph,Missouri,full-service restaurant,24,108,13752000,1,$20K+,Yes,No,Yes,5,5,5,4.0,http://www.twindragonsj.com,'+1 816-689-0061,"Asian/ethnic cuisine; MO/KS territory; $13,752,000 rev"
HIGH,4.7,Bamboo Penny's,Leawood,Kansas,bar/brewery,13,46,,1,$10K-$20K,Yes,Yes,Yes,4.5,5,5,4.5,http://www.bamboopennys.com,'+1 913-232-7695,Asian/ethnic cuisine; KC metro
HIGH,4.7,Bo Lings Chinese Restaurant,Kansas City,Missouri,bar/brewery,41,144,11901000,6,$20K+,Yes,Yes,Yes,5,5,5,3.5,http://www.bolings.com,'+1 816-753-1718,"Asian/ethnic cuisine; KC metro; $11,901,000 rev; 6 locations"
HIGH,4.7,"Seaboard Transport, Inc.",Mission,Kansas,food/bev general,30,60,,1,$20K+,Yes,Yes,Yes,5,5,5,3.5,http://www.seaboardtransport.net,123-456-7890,Asian/ethnic cuisine; KC metro
HIGH,4.7,Genghis Khan Mongolian Grill,Kansas City,Missouri,full-service restaurant,21,94,,1,$20K+,Yes,Yes,No,5,4.5,5,4.0,http://www.gkbbq.com,'+1 816-753-3600,Asian/ethnic cuisine; KC metro
HIGH,4.7,Thai Café,Kansas City,Missouri,bakery/cafe,27,68,,1,$20K+,Yes,Yes,Yes,5,5,4,4.5,http://www.thai.cafe,02/888.80.80,Asian/ethnic cuisine; KC metro
HIGH,4.6,Farm To Market Bread Co.,Kansas City,Kansas,bakery/cafe,20,50,3168000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.farmtomarketbread.com,'+1 816-363-3198,"KC metro; $3,168,000 rev"
HIGH,4.6,The Culinary Center of Kansas City,Overland Park,Kansas,bakery/cafe,13,32,5000000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.kcculinary.com,'+1 913-341-4455,"KC metro; $5,000,000 rev"
