priority,overall_score,tier,company,city,state,segment,apollo_emp,est_actual_staff,revenue,num_locations,est_premium,likely_asian,in_kc_metro,prem_score,fit_score,acc_score,under_score,website,phone,notes
HIGH,4.6,Tier 1 — Big Bet,Thai Binh,Kansas City,Missouri,Transport/Logistics,310,387,,,$40K-$80K+,True,True,5,5.0,4,4.0,http://www.tbl.vn,,Subtype: fleet_and_warehouse; Asian-ownership signal; KC metro
HIGH,4.6,Tier 1 — Big Bet,McBee Custom Homes LC,Independence,Missouri,Construction,4,10,39775000.0,,$30K-$80K+,False,True,5,4.0,5,4.0,http://www.mcbeecustomhomes.com,'+1 816-650-3553,Subtype: gc_with_subs; KC metro; Revenue $39.8M
HIGH,4.6,Tier 1 — Big Bet,"Mack Colt Homes, Inc.",Overland Park,Kansas,Construction,3,7,18110000.0,,$30K-$80K+,False,True,5,4.0,5,4.0,http://www.mackcolthomes.com,'+1 913-768-6039,Subtype: gc_with_subs; KC metro; Revenue $18.1M
HIGH,4.6,Tier 1 — Big Bet,"Transportation Logistics Systems, Inc. (TLSI)",Kansas City,Missouri,Transport/Logistics,3,3,6657000.0,,$40K-$80K+,False,True,5,4.0,5,4.0,http://www.translogsys.com,'+1 816-931-9479,Subtype: fleet_and_warehouse; KC metro
HIGH,4.6,Tier 1 — Big Bet,GSC Lighting & Supply,Belton,Missouri,Construction,4,7,10000000.0,,$20K-$40K,False,True,5,4.0,5,4.0,http://www.gsclighting.com,'+1 816-322-6999,Subtype: artisan_trade; KC metro; Revenue $10.0M
HIGH,4.6,Tier 1 — Big Bet,"Gary Kerns Homebuilders, LLC",Platte City,Missouri,Construction,5,12,13782000.0,,$30K-$80K+,False,True,5,4.0,5,4.0,http://www.kernshomebuilders.com,'+1 816-858-7104,Subtype: gc_with_subs; KC metro; Revenue $13.8M
HIGH,4.6,Tier 1 — Big Bet,"Homes by Chris, LLC",Liberty,Missouri,Construction,4,10,10000000.0,1.0,$30K-$80K+,False,True,5,4.0,5,4.0,http://www.hbcbuilder.com,'+1 816-781-5700,Subtype: gc_with_subs; KC metro; Revenue $10.0M
HIGH,4.6,Tier 1 — Big Bet,KC Water Heaters,Kansas City,Kansas,Construction,3,5,8071000.0,,$20K-$40K,False,True,5,4.0,5,4.0,http://www.kcwaterheater.com,'+1 913-962-7000,Subtype: artisan_trade; KC metro
HIGH,4.6,Tier 1 — Big Bet,Jason Wright Electric,Lee's Summit,Missouri,Construction,5,8,22908000.0,,$20K-$40K,False,True,5,4.0,5,4.0,http://www.jasonwrightelectric.com,'+1 816-246-5826,Subtype: artisan_trade; KC metro; Revenue $22.9M
HIGH,4.5,Tier 1 — Big Bet,Pech Limousine and Delivery,Kansas City,Missouri,Transport/Logistics,8,10,15881000.0,1.0,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.pechlimo.com,'+1 816-756-3100,Subtype: fleet_and_warehouse; KC metro; Revenue $15.9M
HIGH,4.5,Tier 1 — Big Bet,Excellart,Olathe,Kansas,Manufacturing,14,17,13636000.0,,$25K-$60K+,False,True,5,4.0,5,3.5,http://www.excellart.com,'+1 913-764-2364,Subtype: metal_mfg; KC metro; Revenue $13.6M
HIGH,4.5,Tier 1 — Big Bet,Cemsac Corporation,Ellisville,Missouri,Manufacturing,5,6,53740000.0,,$25K-$60K+,False,False,5,3.5,5,4.0,http://www.cemsac.com,'+1 636-391-2600,Subtype: chemical_mfg; Revenue $53.7M
HIGH,4.5,Tier 1 — Big Bet,Vaughan Mechanical Inc,Kansas City,Missouri,Construction,9,15,18129000.0,,$20K-$40K,False,True,5,4.0,5,3.5,http://www.vm-inc.com,'+1 816-453-3400,Subtype: artisan_trade; KC metro; Revenue $18.1M
HIGH,4.5,Tier 1 — Big Bet,"Deckscapes, Inc.",Lenexa,Kansas,Construction,8,20,10404000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.deckscapesinc.com,'+1 913-839-1209,Subtype: gc_with_subs; KC metro; Revenue $10.4M
HIGH,4.5,Tier 1 — Big Bet,Suture Express,Overland Park,Kansas,Transport/Logistics,15,18,6438000.0,,$10K-$20K,False,True,5,4.0,5,3.5,http://www.sutureexpress.com,'+1 913-384-2220,Subtype: warehouse_only; KC metro
HIGH,4.5,Tier 1 — Big Bet,"DESIGN MATERIALS, INC",Kansas City,Kansas,Construction,13,22,22059000.0,,$20K-$40K,False,True,5,4.0,5,3.5,http://www.dmifloors.com,'+1 913-342-9796,Subtype: artisan_trade; KC metro; Revenue $22.1M
HIGH,4.5,Tier 1 — Big Bet,"DESCO Coatings, Inc.",Olathe,Kansas,Construction,7,17,11504000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.descocoatings.com,'+1 913-782-3330,Subtype: gc_with_subs; KC metro; Revenue $11.5M
HIGH,4.5,Tier 1 — Big Bet,DIAMOND POLISH SOLUTIONS,Overland Park,Kansas,Construction,7,12,24700000.0,,$20K-$40K,False,True,5,4.0,5,3.5,http://www.diamondpolishsolutions.com,'+1 913-579-0883,Subtype: artisan_trade; KC metro; Revenue $24.7M
HIGH,4.5,Tier 1 — Big Bet,"Swanson Masonry, Inc",Hazelwood,Missouri,Construction,3,7,15620000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.swansonmasonry.com,'+1 636-946-1970,Subtype: gc_with_subs; Revenue $15.6M
HIGH,4.5,Tier 1 — Big Bet,"Gladon Company, Inc.",St. Louis,Missouri,Construction,4,7,22124000.0,,$20K-$40K,False,False,5,3.5,5,4.0,http://www.gladon.com,'+1 414-483-6070,Subtype: artisan_trade; Revenue $22.1M
HIGH,4.5,Tier 1 — Big Bet,Insight Mechanical Contractors,Raytown,Missouri,Manufacturing,9,11,25641000.0,1.0,$25K-$60K+,False,True,5,4.0,5,3.5,http://www.insightmech.com,'+1 816-353-3533,Subtype: metal_mfg; KC metro; Revenue $25.6M
HIGH,4.5,Tier 1 — Big Bet,J&J Converting Machinery,Grandview,Missouri,Manufacturing,10,12,27334000.0,,$25K-$60K+,False,True,5,4.0,5,3.5,http://www.jjconvertingmachinery.com,'+1 816-285-0900,Subtype: general_mfg; KC metro; Revenue $27.3M
HIGH,4.5,Tier 1 — Big Bet,Strickland Construction Company,Olathe,Kansas,Construction,11,27,11200000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.stricklandconstruction.com,'+1 913-764-7000,Subtype: gc_with_subs; KC metro; Revenue $11.2M
HIGH,4.5,Tier 1 — Big Bet,Midpoint National,Kansas City,Kansas,Transport/Logistics,13,16,17359000.0,,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.midpt.com,'+1 800-228-4321,Subtype: fleet_and_warehouse; KC metro; Revenue $17.4M
HIGH,4.5,Tier 1 — Big Bet,Mid-America Pump,Kansas City,Kansas,Manufacturing,10,12,9925000.0,,$25K-$60K+,False,True,5,4.0,5,3.5,http://www.midamericapump.com,'+1 913-287-3900,Subtype: food_mfg; KC metro
HIGH,4.5,Tier 1 — Big Bet,Almighty Tow Service® LLC,Overland Park,Kansas,Transport/Logistics,12,15,12304000.0,1.0,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.almightytow.com,'+1 913-362-8697,Subtype: fleet_and_warehouse; KC metro; Revenue $12.3M
HIGH,4.5,Tier 1 — Big Bet,"Signature Flooring, Inc.",Merriam,Kansas,Construction,11,27,50489000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.sfikc.com,'+1 913-262-3200,Subtype: gc_with_subs; KC metro; Revenue $50.5M
HIGH,4.5,Tier 1 — Big Bet,SkuTouch Solutions,Lenexa,Kansas,Manufacturing,7,8,18317000.0,,$25K-$60K+,False,True,5,4.0,5,3.5,http://www.skutouch.com,'+1 800-711-0106,Subtype: general_mfg; KC metro; Revenue $18.3M
HIGH,4.5,Tier 1 — Big Bet,"EAGLE STONE & BRICK, INC.",Fenton,Missouri,Construction,3,5,32214000.0,,$20K-$40K,False,False,5,3.5,5,4.0,http://www.eagle-stone.com,'+1 618-282-6722,Subtype: artisan_trade; Revenue $32.2M
HIGH,4.5,Tier 1 — Big Bet,Module Building Systems,St. Louis,Missouri,Construction,4,10,9000000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.modulebuildingsystems.com,'+1 250-258-4044,Subtype: gc_with_subs
HIGH,4.5,Tier 1 — Big Bet,Ozark Mountain Railcar.,Kirbyville,Missouri,Transport/Logistics,5,6,33127000.0,,$40K-$80K+,False,False,5,3.5,5,4.0,http://www.ozarkmountainrailcar.com,'+1 417-336-2401,Subtype: fleet_and_warehouse; Revenue $33.1M
HIGH,4.5,Tier 1 — Big Bet,"CSE Electric, LLC",Ellisville,Missouri,Construction,3,5,33638000.0,,$20K-$40K,False,False,5,3.5,5,4.0,http://www.cseelectric.com,'+1 636-220-2777,Subtype: artisan_trade; Revenue $33.6M
HIGH,4.5,Tier 1 — Big Bet,5 Guys Transportation,Kansas City,Missouri,Transport/Logistics,12,15,6319000.0,1.0,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.5guystransportation.com,'+1 816-891-9999,Subtype: fleet_and_warehouse; KC metro
HIGH,4.5,Tier 1 — Big Bet,Columbia Glass & Windows,Kansas City,Missouri,Construction,8,20,10000000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.columbiawindows.com,'+1 816-241-5800,Subtype: gc_with_subs; KC metro; Revenue $10.0M
HIGH,4.5,Tier 1 — Big Bet,Chris George Custom Homes,Olathe,Kansas,Construction,7,17,7883000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.chrisgeorgecustomhomes.com,'+1 913-626-1069,Subtype: gc_with_subs; KC metro
HIGH,4.5,Tier 1 — Big Bet,Agile NYC Metro,Chesterfield,Missouri,Transport/Logistics,5,6,5794000.0,,$40K-$80K+,False,False,5,3.5,5,4.0,http://www.agile-network.com,'+1 866-686-2445,Subtype: fleet_and_warehouse
HIGH,4.5,Tier 1 — Big Bet,"AgriLogistics, Inc.",Olathe,Kansas,Transport/Logistics,6,7,11065000.0,,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.agrilogistics.com,'+1 913-884-6520,Subtype: fleet_and_warehouse; KC metro; Revenue $11.1M
HIGH,4.5,Tier 1 — Big Bet,Homoly Design + Build,Kansas City,Missouri,Construction,13,32,37166000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.homoly.com,'+1 816-215-3633,Subtype: gc_with_subs; KC metro; Revenue $37.2M
HIGH,4.5,Tier 1 — Big Bet,Cardinal Crest,Kansas City,Missouri,Construction,7,17,31650000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.cardinalcresthomes.com,'+1 816-499-3156,Subtype: gc_with_subs; KC metro; Revenue $31.6M
HIGH,4.5,Tier 1 — Big Bet,Davis Truck Service,Kansas City,Missouri,Transport/Logistics,8,10,33661000.0,,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.davistruckservice.com,'+1 816-734-2700,Subtype: fleet_and_warehouse; KC metro; Revenue $33.7M
HIGH,4.5,Tier 1 — Big Bet,Royal Creations Architectural Landscaping,Grandview,Missouri,Construction,7,17,10543000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.royalcreationslandscaping.com,'+1 816-825-2524,Subtype: gc_with_subs; KC metro; Revenue $10.5M
HIGH,4.5,Tier 1 — Big Bet,"SAUERWEIN CONSTRUCTION CO., INC.",Wichita,Kansas,Construction,3,7,29555000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.sauerweinconstruction.com,'+1 316-942-0028,Subtype: gc_with_subs; Revenue $29.6M
HIGH,4.5,Tier 1 — Big Bet,Kansas City Streetcar Authority,Kansas City,Missouri,Transport/Logistics,9,11,10000000.0,,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.kcstreetcar.org,'+1 816-627-2527,Subtype: fleet_and_warehouse; KC metro; Revenue $10.0M
HIGH,4.5,Tier 1 — Big Bet,Scapers Dumpster Rentals,Saint Louis,Missouri,Transport/Logistics,3,3,17237000.0,,$3K-$8K,False,False,5,3.5,5,4.0,http://www.scapersllc.com,'+1 314-565-8830,Subtype: warehouse_only; Revenue $17.2M
HIGH,4.5,Tier 1 — Big Bet,"Kramer Commercial, Inc.",Lenexa,Kansas,Construction,12,30,12470000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.kramercommercialinc.com,'+1 913-451-0303,Subtype: gc_with_subs; KC metro; Revenue $12.5M
HIGH,4.5,Tier 1 — Big Bet,SMACNA St. Louis,St. Louis,Missouri,Construction,5,8,10812000.0,,$20K-$40K,False,False,5,3.5,5,4.0,http://www.smacnastlouis.org,'+1 314-427-7117,Subtype: artisan_trade; Revenue $10.8M
HIGH,4.5,Tier 1 — Big Bet,"Casa Bella Construction, Inc.",Kansas City,Missouri,Construction,11,27,14659000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.casabellaconstruction.com,'+1 816-436-9969,Subtype: gc_with_subs; KC metro; Revenue $14.7M
HIGH,4.5,Tier 1 — Big Bet,C&M Restoration Co. Inc.,Kansas City,Missouri,Construction,10,25,12581000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.cmrestore.com,'+1 816-920-5600,Subtype: gc_with_subs; KC metro; Revenue $12.6M
HIGH,4.5,Tier 1 — Big Bet,Roeser Home Remodeling,Kirkwood,Missouri,Construction,5,12,26369000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.roeserconstruction.com,'+1 314-822-0839,Subtype: gc_with_subs; Revenue $26.4M
HIGH,4.5,Tier 1 — Big Bet,Broadview Screen Company,Sunset Hills,Missouri,Construction,3,5,4751000.0,,$20K-$40K,False,False,5,3.5,5,4.0,http://www.broadviewscreen.com,'+1 314-842-8888,Subtype: artisan_trade
HIGH,4.5,Tier 1 — Big Bet,Baxter Mechanical Contractors,Kansas City,Kansas,Construction,6,10,10000000.0,,$20K-$40K,False,True,5,4.0,5,3.5,http://www.baxtermechanical.com,'+1 913-281-6303,Subtype: artisan_trade; KC metro; Revenue $10.0M
HIGH,4.5,Tier 1 — Big Bet,Purdum Construction,Overland Park,Kansas,Construction,12,30,16812000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.purdco.com,'+1 913-766-0835,Subtype: gc_with_subs; KC metro; Revenue $16.8M
