company,city,state,segment,website,status,match,location_match,recommendation,notes
Compass Electrical Solutions,St. Louis,Missouri,Construction,http://www.compass-electrical.com,OPEN,YES,YES,REVEAL,"Electrical contractor; 10510 Lackland Rd STL 63114; commercial/industrial/residential/low-voltage"
Power Supply Industries,Fenton,Missouri,Manufacturing,http://www.psiind.com,OPEN,YES,YES,REVEAL,"Compressor distributor since 1983; 201 Sun Valley Circle Fenton MO 63026; 3 locations (STL/Decatur IL/Peoria IL)"
Mid-America Packaging,St. Louis,Missouri,Manufacturing,http://www.map-pack.com,OPEN,YES,YES,REVEAL,"Packaging equipment distributor; 4800 Miami St STL 63116; adhesive dispensing + coding/marking systems; 25 years"
Storee Construction,Springfield,Missouri,Construction,http://www.storee.com,OPEN,YES,YES,REVEAL,"Industrial/commercial contractor since 1966; 3839 E Mustard Way Springfield MO 65803; serves MO/OK/KS/AR"
Stephens Floor Covering,St. Louis,Missouri,Construction,http://www.stephensfloorcovering.com,OPEN,YES,YES,REVEAL,"Commercial/residential flooring since 1957; 11805 Westline Industrial Dr STL 63146; union installers"
Hamilton Builders LLC,Springfield,Missouri,Construction,http://www.hamilton-builders.com,OPEN,YES,YES,REVEAL,"Affordable housing construction since 2012; 3556 S Culpepper Cir Ste 4 Springfield MO 65804; also Tyler TX"
"Habco Partnership, Inc",St. Louis,Missouri,Construction,http://www.habco.net,OPEN,YES,YES,REVEAL,"Electrical contractor since 1973; 10420 Baur Blvd STL 63132; design-build; 212+ permitted projects"
HASTCO Construction,Topeka,Kansas,Construction,http://www.hastco.com,OPEN,YES,YES,REVEAL,"Commercial/industrial GC since 1976; 2801 NW Button Rd Topeka KS 66618; woman-owned; design-build"
Great Central Lumber,St. Peters,Missouri,Construction,http://www.gclumber.com,OPEN,YES,YES,REVEAL,"Lumber/millwork supplier since 1948; 137 Ecology Dr St Peters MO 63376; 14-acre facility; family-owned"
Springfield Engineering Company,Springfield,Missouri,Construction,http://www.springfieldengineering.com,OPEN,YES,YES,REVEAL,"Mechanical contractor since 1952 (SECO); 1528 E Trafficway Springfield MO 65802; piping/plumbing/HVAC"
AA Express Inc,St. Louis,Missouri,Transport/Logistics,http://www.aa-express.com,OPEN,YES,YES,REVEAL,"Trucking/logistics; 433 Thatcher Ave STL 63147; FTL/LTL/dry van/flatbed; actively hiring"
"A-Mrazek Powered By McCollister's",Kirkwood,Missouri,Transport/Logistics,http://www.a-mrazek.com,OPEN,YES,YES,REVEAL,"Moving/logistics company; St. Louis/Kirkwood MO; local/long-distance/international; residential + commercial"
"Commercial Builders, Inc.",Hays,Kansas,Construction,http://www.commercialbuildersinc.com,OPEN,YES,YES,REVEAL,"GC since 1995; 2717 Canal Blvd Ste I Hays KS; commercial/residential/industrial; Hays Chamber member"
"Commerce Construction Services, Inc.",Wichita,Kansas,Construction,http://www.ccswichita.com,OPEN,YES,YES,REVEAL,"Commercial GC; Wichita KS; construction/remodel/renovation/additions"
Coil Construction,Columbia,Missouri,Construction,http://www.coilconstruction.com,OPEN,YES,YES,REVEAL,"Design-build GC since 1975; 209 E Broadway Columbia MO 65203; healthcare/industrial/institutional"
Cleaver Farm & Home,Chanute,Kansas,Construction,http://www.cleaverfarm.com,OPEN,YES,YES,REVEAL,"Hardware/farm supply retail (Ace Hardware affiliate); 2103 S Santa Fe Ave Chanute KS 66720; not a contractor but insurable for BOP/GL"
"Trux Trailer and Tractor, Inc.",Springfield,Missouri,Manufacturing,http://www.truxtrailer.com,OPEN,YES,YES,REVEAL,"Trailer repair/sales since 1976; 900 N West Bypass Springfield MO 65802; 20K sq ft facility"
"The Murdock Companies, Inc.",Wichita,Kansas,Manufacturing,http://www.mcos.com,OPEN,YES,YES,REVEAL,"Industrial supply distributor (Murdock Industrial Supply); 1111 E 1st Wichita KS; 4 locations (Wichita/Hutchinson/McPherson/Enid OK)"
St. Louis Lighting Group,Maplewood,Missouri,Manufacturing,http://www.stlouislightinggroup.com,OPEN,YES,YES,REVEAL,"Lighting/controls distributor; 7414 Manchester Rd STL 63143; serves architects/engineers/contractors"
Southern Supply Company,Springfield,Missouri,Construction,http://www.southernsupply.com,OPEN,YES,YES,REVEAL,"Building products supplier; 3216 E Division St Springfield MO 65802; windows/doors/siding/millwork"
Snyder Construction Group,Ozark,Missouri,Construction,http://www.snydercg.com,OPEN,YES,YES,REVEAL,"Commercial GC since 1978; 4820 N Towne Centre Dr Ozark MO 65721; pre-construction/design-build/CM"
"Snodgrass & Sons Construction Co. Inc.",Wichita,Kansas,Construction,http://www.snodgrassconstruction.com,OPEN,YES,YES,REVEAL,"Commercial/industrial GC since 1940s; 2700 George Washington Blvd Wichita KS 67210; metal roofing"
"Sircal Contracting, Inc.",Jefferson City,Missouri,Construction,http://www.sircalcontracting.com,OPEN,YES,YES,REVEAL,"GC since 1992; 1331 Monroe St Jefferson City MO 65101; concrete/underground utilities; family-owned"
Simpson Construction Services,Wichita,Kansas,Construction,http://www.simpsonconst.com,OPEN,YES,YES,REVEAL,"Commercial CM since 1960s; 2872 N Ridge Rd Ste 112 Wichita KS 67205; 4th-gen family-owned; healthcare/education"
"Hof Construction, Inc.",Saint Louis,Missouri,Construction,http://www.hofconstruction.com,OPEN,YES,YES,REVEAL,"Commercial GC 100+ years; 3137 Jamieson Ave STL 63139; Archdiocese + GSA projects"
