company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Baldi Electric,St. Louis,Missouri,Manufacturing,http://www.baldielectric.com,4.4,HIGH,7,$5K-$20K,False,OPEN,YES,YES,REVEAL,,"OPEN — site live, title 'Home - Baldi Electric', St. Louis MO confirmed."
AMF Electrical Contractors,St. Louis,Missouri,Manufacturing,http://www.amfelectric.com,4.4,HIGH,9,$8K-$30K,False,OPEN,YES,YES,REVEAL,,OPEN — amfelectric.com active 'Commercial and Industrial Electrical Contractors | AMF Electric'.
R & S Express,St. Louis,Missouri,Transport/Logistics,http://www.rnsexpressllc.com,4.4,HIGH,12,$8K-$30K,False,OPEN,YES,YES,REVEAL,,"OPEN — rnsexpressllc.com loads, freight carrier active."
Arrow Building Center (Unofficial Page),Springfield,Missouri,Construction,http://www.abc-clc.com,4.4,HIGH,15,$15K-$50K+,False,OPEN,YES,YES,REVEAL,,OPEN — abc-clc.com active 'Welcome To Arrow Building Center | Building Supplies'. Springfield MO.
United Construction St. Louis,Creve Coeur,Missouri,Construction,http://www.unitedconst.com,4.4,HIGH,9,$8K-$30K,False,OPEN,YES,YES,REVEAL,,"OPEN — unitedconst.com active, 'Building the Future Together'. Creve Coeur MO."
Foeste Masonry,Cape Girardeau,Missouri,Construction,http://www.foestemasonry.com,4.4,HIGH,11,$8K-$30K,False,OPEN,YES,YES,REVEAL,,"OPEN — foestemasonry.com active 'Kenneth E. Foeste Masonry, Inc.' Cape Girardeau MO."
Faust Construction,Greenwood,Missouri,Construction,http://www.faustconstruction.com,4.4,HIGH,10,$8K-$30K,False,OPEN,YES,YES,REVEAL,,OPEN — Luxury Custom Home Builder Kansas City. Greenwood MO is KC metro.
Aging In The Comfort Of Home®,Ozark,Missouri,Construction,http://www.aitcoh.com,4.4,HIGH,7,$5K-$20K,False,OPEN,YES,YES,REVEAL,,"OPEN — aitcoh.com active, accessibility/safe-living renovations. Ozark MO."
"Advanced Systems Homes, Inc",Chanute,Kansas,Construction,http://www.advancedsystemshomes.com,4.4,HIGH,11,$8K-$30K,False,OPEN,YES,YES,REVEAL,,OPEN — advancedsystemshomes.com 'Custom Modular Home Builder in Kansas'. Chanute KS.
Trilogy Warehouse Partners,Saint Charles,Missouri,Transport/Logistics,http://www.trilogywarehousepartners.com,4.4,HIGH,7,$5K-$20K,False,OPEN,YES,YES,REVEAL,,OPEN — trilogywarehousepartners.com 'Warehousing & Logistics Services'. Saint Charles MO.
Missouri Terrazzo,St. Louis,Missouri,Construction,http://www.missouriterrazzo.com,4.4,HIGH,12,$8K-$30K,False,OPEN,YES,YES,REVEAL,,OPEN — missouriterrazzo.com 'Award Winning Terrazzo Flooring'. St. Louis MO.
Air & Water Solutions,Columbia,Missouri,Construction,http://www.airwatersolutions.com,4.4,HIGH,6,$5K-$20K,False,OPEN,YES,YES,REVEAL,,"OPEN — airwatersolutions.com 'HVAC Company Columbia, MO'. Columbia MO confirmed."
W.N. Epstein & Co. Inc.,Saint Louis,Missouri,Transport/Logistics,http://www.wnepstein.com,4.4,HIGH,7,$5K-$20K,False,OPEN,YES,YES,REVEAL,,OPEN — wnepstein.com active. Saint Louis MO per Apollo.
Zipp Express StL,Earth City,Missouri,Transport/Logistics,http://www.zippdelivers.com,4.3,HIGH,17,$15K-$50K+,False,OPEN,YES,YES,REVEAL,,"OPEN — site 403 to script but WebSearch confirms St. Louis delivery/courier active since 1989, new owner Beth Sprenger 2024 (Rex Regional acquisition)."
ZipCare Transportation,St. Louis,Missouri,Transport/Logistics,http://www.zipcaretransportation.com,4.3,HIGH,31,$30K-$80K+,False,OPEN,YES,YES,REVEAL,,OPEN — zipcaretransportation.com 'St. Louis Transportation Company - ZipCare Transportation'.
Accolade Kitchen & Bath,Ballwin,Missouri,Construction,http://www.accoladekb.com,4.3,HIGH,1,$5K-$20K,False,OPEN,YES,YES,REVEAL,,OPEN — site 403 to script but BBB/Yelp/Facebook confirm active kitchen-bath remodeler at 678 Kerryton Place Cir Ballwin MO 63021. President Richard Terry.
ARCO Beverage Group,St. Louis,Missouri,Construction,http://www.arcobeveragegroup.com,4.3,HIGH,1,$5K-$20K,False,OPEN,YES,YES,REVEAL,,OPEN — arcobeveragegroup.com 'Beverage Facility Construction Company'. St. Louis MO.
U.S. Road Freight,Wichita,Kansas,Transport/Logistics,http://www.usroad.com,4.3,HIGH,36,$30K-$80K+,False,OPEN,YES,YES,REVEAL,,"OPEN — usroad.com 'US Road Freight Express - LTL Freight Carrier Serving Kansas, Oklahoma, Texas'. Wichita KS."
Trivergix Group,Chesterfield,Missouri,Transport/Logistics,http://www.trivergix.com,4.3,HIGH,24,$15K-$50K+,False,OPEN,YES,YES,REVEAL,,"OPEN — trivergix.com 'FF&E, Transportation, and Logistics Project Management'. Chesterfield MO."
Martin Metal LLC,Versailles,Missouri,Construction,http://www.martinmetal.com,4.3,HIGH,34,$30K-$80K+,False,OPEN,YES,YES,REVEAL,,OPEN — martinmetal.com 'Missouri Post Frame Material Manufacturer'. Versailles MO.
Marick Mechanical (Formerly Bieg Plumbing & Mechanical),St. Louis,Missouri,Construction,http://www.biegplumbing.com,4.3,HIGH,16,$15K-$50K+,False,OPEN,NO,MISMATCH,SKIP,"PE rollup — branch of Marick (Des Moines IA HQ, Orion Group HoldCo PE-acquired 10/2022)","OPEN as a business but Bieg Plumbing was rolled up into Marick Mechanical (Des Moines IA HQ, PE-backed by Orion Group Oct 2022). Insurance program almost certainly placed at Marick/Orion HQ level — not at the St. Louis branch. Same pattern as Lippert/PremiStar (2026-04-29 learning) and Pro Electric/Waldinger (2026-04-23 learning)."
Marc's Flooring Service Inc.,St. Peters,Missouri,Construction,http://www.mfsiflooring.com,4.3,HIGH,44,$30K-$80K+,False,OPEN,YES,YES,REVEAL,,OPEN — mfsiflooring.com active. St. Peters MO.
MCA of Eastern Missouri,St. Louis,Missouri,Construction,http://www.mca-emo.com,4.3,HIGH,2,$5K-$20K,False,OPEN,YES,MISMATCH,SKIP,Trade association (Mechanical Contractors Association of Eastern Missouri) — not an insurable contractor,TRADE ASSOCIATION — Mechanical Contractors Association of Eastern Missouri. Same pattern as SMACNA St. Louis (batch 8) and Wichita Area Builders Association (batch 8). Not an insurable contractor; serves union mechanical contractors via training/labor relations. Not a prospect.
"Lynn Electric, Inc. & Communications",Lawrence,Kansas,Construction,http://www.lynnelectric.com,4.3,HIGH,27,$15K-$50K+,False,OPEN,YES,YES,REVEAL,,OPEN — lynnelectric.com 'Electricians Near You in Kansas City | Lynn Electric'. Lawrence KS.
"AHRS Construction, Inc.",Bern,Kansas,Construction,http://www.ahrs-inc.com,4.3,HIGH,22,$15K-$50K+,False,OPEN,YES,YES,REVEAL,,OPEN — ahrs-inc.com 'AHRS Construction | General Contractor'. Bern KS.
