"rank","company","city","state","tier","segment","website","apollo_biz_type","verified_biz_type","verification_status","evidence","recommendation","notes"
"1","Midwest Lumber","Harrisonville","Missouri","1","Construction","http://www.midwestlumber.com","Construction","Lumber Supply","OPEN","Active website with 2024 updates; operates Harrisonville and Butler locations; 11-50 employees.","REVEAL","Founded 1996; family-owned; TPI certified truss facility; millwork operations."
"2","Miller Stauch Construction","Kansas City","Kansas","1","Construction","http://www.millerstauch.com","Construction","General Contractor","OPEN","Active website updated Jan 2026; BBB A+ rating; 100-year history since 1923.","REVEAL","Located 32 N 6th St; BuildZoom top 10% score; 40+ years combined leadership experience."
"3","Millig Design Build","Olathe","Kansas","1","Construction","http://www.milligdb.com","Construction","Construction/Engineering","OPEN","Active website; provides engineering and construction services focused on decarbonization.","REVEAL","Located 100 East Park Street; 913-214-2680; specializes in MEP systems and sustainability."
"4","Superior Moving Service Inc.","Kansas City","Missouri","1","Transport/Logistics","http://www.superiormoving.com","Transport/Logistics","Commercial Moving/Warehouse","OPEN","Active website; 111+ years operating; BBB A+ rating; 150,000+ sq ft warehouse.","REVEAL","Located 2020 Walnut St; 2 locations; serves gov/healthcare/corporate/education sectors."
"5","ADELPHI CONSTRUCTION LC","Mission","Kansas","1","Construction","http://www.adelphiconstructionlc.com","Construction","Industrial Construction","OPEN","Active website; industrial construction specialist; IAC subsidiary; 25+ years avg employee experience.","REVEAL","Located 4800 Lamar Ave Ste 104 Shawnee Mission; serves steel/cement/chemicals industries."
"6","XEC, Inc.","Lenexa","Kansas","1","Construction","http://www.xeccinc.com","Construction","Mission Critical Construction","OPEN","Active website; specializes in mission-critical facilities; $13M revenue; 32 employees.","REVEAL","Founded 2007; 11160 Thompson Ave; zero downtime record on 450+ projects."
"7","FATBOY ELECTRIC, INC","Kansas City","Missouri","1","Construction","http://www.fatboyelectric.com","Construction","Electrical Contractor","OPEN","Active website updated Feb 2025; licensed 6 states; 2024 Excellence in Construction Award.","REVEAL","Located 11515 Hickman Mills Dr; 24/7 service; onsite project managers."
"8","Environmental Mechanical Contractors, Inc.","Olathe","Kansas","1","Construction","http://www.emc-kc.com","Construction","HVAC/Mechanical","OPEN","Website 404 initially; Google shows active Jan 2026; 65+ years experience since 1949.","REVEAL","Located 14872 W 117th St; 4.5 HomeAdvisor rating; LEED and BIM certified."
"9","M&S Electric KC","Blue Springs","Missouri","1","Construction","http://www.mandselectric.net","Construction","Electrical Contractor","OPEN","Active website; BBB A+ rating; founded 2011; BuildZoom top 5% score.","REVEAL","Located 3026 SW East US 40 Hwy; multifamily and hospitality specialist; 14 years operating."
"10","Your Express Solutions","Kansas City","Missouri","1","Transport/Logistics","http://www.yourexpresssolutions.com","Transport/Logistics","Final Mile Delivery","UNVERIFIED","SSL certificate issue accessing site; DOT registered; mixed Indeed reviews on stability.","MANUAL CHECK","Located 6918 NW 79th St; USDOT 3418303; employee concerns about job security noted."
