company,city,state,segment,website,overall_score,tier,employees,revenue_proxy,phone
Thai Binh,Kansas City,Missouri,Transport/Logistics,http://www.tbl.vn,4.6,HIGH,310,387,
Almighty Tow Service® LLC,Overland Park,Kansas,Transport/Logistics,http://www.almightytow.com,4.5,HIGH,12,15,'+1 913-362-8697
Kansas City Streetcar Authority,Kansas City,Missouri,Transport/Logistics,http://www.kcstreetcar.org,4.5,HIGH,9,11,'+1 816-627-2527
Your Express Solutions,Kansas City,Missouri,Transport/Logistics,http://www.yourexpresssolutions.com,4.4,HIGH,24,30,'+1 913-915-4016
"M&J Transportation, Inc.",Kansas City,Missouri,Transport/Logistics,http://www.mjtransportationkc.com,4.4,HIGH,28,35,'+1 816-231-6733
Columbia Group,Liberty,Missouri,Transport/Logistics,http://www.columbia-group.com,4.4,HIGH,28,35,'+1 908-991-0001
"Infiniti Logistics, Inc.",Overland Park,Kansas,Transport/Logistics,http://www.infinitilogistics.com,4.4,HIGH,21,26,'+1 877-324-4109
SFE Enterprises,Belton,Missouri,Construction,http://www.sfeenterprises.com,4.4,HIGH,20,50,'+1 816-322-2206
Shaw Supply Company,Kansas City,Missouri,Construction,http://www.shawsupply.com,4.4,HIGH,20,35,'+1 816-221-0060
Home Builders Association of Greater Kansas City,Kansas City,Missouri,Construction,http://www.kchba.org,4.4,HIGH,24,60,'+1 816-942-8800
Custom Stone Tile,Overland Park,Kansas,Construction,http://www.customstonetile.biz,4.4,HIGH,25,43,'+1 816-588-6095
Truman Heritage Habitat for Humanity,Independence,Missouri,Construction,http://www.trumanhabitat.org,4.4,HIGH,41,102,'+1 816-461-6551
Aegis Fire Protection LLC a Fire Sprinkler and Fire Alarm Company in Kansas City,Overland Park,Kansas,Construction,http://www.aegisfirepro.com,4.4,HIGH,20,35,'+1 913-825-0343
"Capital Trucking, LLC",Topeka,Kansas,Transport/Logistics,http://www.captrucking.com,4.3,HIGH,23,28,'+1 785-215-8161
"Kendall Construction, Inc.",Topeka,Kansas,Construction,http://www.trustkendall.com,4.3,HIGH,28,70,'+1 785-246-2295
"Lawrence Landscape, Inc.",Lawrence,Kansas,Construction,http://www.lawrencelandscape.com,4.3,HIGH,24,42,'+1 785-843-4370
Topeka Metro,Topeka,Kansas,Transport/Logistics,http://www.topekametro.org,4.3,HIGH,45,56,'+1 785-783-7000
WANO – Japanese Truck Parts,Independence,Missouri,Transport/Logistics,http://www.wano.com.au,4.2,HIGH,23,28,
"SENNE & COMPANY, INC.",Topeka,Kansas,Construction,http://www.sennecompany.com,4.2,HIGH,14,35,'+1 785-235-1015
Mechanical Contractors Association of Kansas City (MCA of Kansas City),Overland Park,Kansas,Construction,http://www.mcakc.org,4.1,HIGH,6,15,'+1 913-948-9200
221 Construction LLC.,Kearney,Missouri,Construction,http://www.221construction.com,4.1,HIGH,15,37,'+1 816-265-2701
"KBS Constructors, Inc.",Topeka,Kansas,Construction,http://www.kbsci.com,4.0,HIGH,76,190,'+1 785-266-4222
Century Building Solutions,Lawrence,Kansas,Construction,http://www.centurybuildingsolutions.com,4.0,HIGH,11,19,'+1 785-841-3120
Shirley Construction,Topeka,Kansas,Construction,http://www.shirley-construction.com,4.0,HIGH,15,37,'+1 785-271-1333
Winston Brown Remodeling,Topeka,Kansas,Construction,http://www.winston-brown.com,4.0,HIGH,12,30,'+1 785-271-1661
