rank,company,city,state,segment,website,overall_score,status,recommendation,notes
19,"Swanson Masonry, Inc.",Hazelwood,Missouri,Construction,http://www.swansonmasonry.com,4.50,OPEN,REVEAL,"Commercial masonry contractor, Hazelwood MO 63042, (636) 946-1970"
182,Missouri Drywall Supply Inc,Hazelwood,Missouri,Manufacturing,http://www.modrywall.com,4.40,OPEN,REVEAL,"Building materials supplier (GMS company), since 1970, Hazelwood MO 63042, (314) 731-2282"
286,Academy Air,Hazelwood,Missouri,Construction,http://www.academyair.com,4.30,OPEN,REVEAL,"HVAC/plumbing/electrical services, St. Louis area, Hazelwood MO 63042, (314) 798-7506"
437,HDA Truck Pride,Hazelwood,Missouri,Transport/Logistics,http://www.hdatruckpride.com,4.30,OPEN,REVEAL,"Heavy-duty trucking aftermarket network, 900+ locations, Hazelwood MO 63042, (314) 291-3345"
608,Naturally Wired,Overland Park,Kansas,Manufacturing,http://www.naturallywiredkc.com,4.10,OPEN,REVEAL,"Technology integrator/smart home automation, Overland Park KS 66085, (913) 385-9926"
610,Kansas City Intermodal,Kansas City,Missouri,Transport/Logistics,http://www.kcintermodal.com,4.10,OPEN,REVEAL,"Intermodal trucking/drayage, Kansas City MO 64120, (913) 303-9140"
611,Jett Trucking,Olathe,Kansas,Transport/Logistics,http://www.jetttrucking.com,4.10,OPEN,REVEAL,"Refrigerated carrier, 200+ trucks, Olathe KS 66061, (913) 647-0543"
613,LIV2ship,Overland Park,Kansas,Transport/Logistics,http://www.liv2ship.com,4.10,OPEN,REVEAL,"4PL logistics provider, warehousing/brokerage, Overland Park KS 66213, (877) 773-5482"
614,Infinity Intermodal,Kansas City,Missouri,Transport/Logistics,http://www.infinityintermodal.com,4.10,OPEN,REVEAL,"Asset-based intermodal carrier, Kansas City MO 64108, (816) 984-8500"
616,24/7 Express Logistics Inc,Kansas City,Missouri,Transport/Logistics,http://www.247expresslogistics.com,4.10,OPEN,REVEAL,"3PL/courier services, ~92 employees, $17.2M revenue, Kansas City MO 64120, (816) 471-1004"
620,Kansas City Mechanical Inc,Kansas City,Kansas,Construction,http://www.kcmechanical.net,4.10,OPEN,REVEAL,"Commercial HVAC/plumbing contractor since 1983, women-owned, Kansas City KS 66111, (913) 334-1101"
623,Global Passenger Network (GPN),Overland Park,Kansas,Transport/Logistics,http://www.gpn.travel,4.10,OPEN,REVEAL,"Motor coach network (not-for-profit), 41 countries, Overland Park KS 66211"
624,"Gold Star Transportation, Inc.",Overland Park,Kansas,Transport/Logistics,http://www.goldstartrans.com,4.10,OPEN,REVEAL,"Freight broker since 1982, woman-owned, Overland Park KS 66207, (800) 225-0028"
626,"Heartland Logistics Group, LLC",Lenexa,Kansas,Transport/Logistics,http://www.shiphlg.com,4.10,OPEN,REVEAL,"3PL broker, full-service supply chain solutions, Lenexa KS"
627,"ICD Freight, Inc.",Lenexa,Kansas,Transport/Logistics,http://www.icdfreight.com,4.10,OPEN,REVEAL,"Trucking/logistics since 1957, Lenexa KS, building materials/steel"
631,OKM Pros,Lee's Summit,Missouri,Construction,http://www.okmpros.com,4.10,OPEN,REVEAL,"Home remodeling/construction, Lee's Summit MO 64063, (816) 336-1490"
632,Centric,Kansas City,Missouri,Construction,http://www.centric.build,4.10,OPEN,REVEAL,"Construction group, Kansas City MO 64108, (816) 389-8300"
634,Bestway International,Kansas City,Missouri,Transport/Logistics,http://www.bestway-intl.com,4.10,OPEN,REVEAL,"Logistics/freight forwarding since 1988, Kansas City MO 64153, (816) 891-8339"
635,"Rothwell Construction, Inc.",Blue Springs,Missouri,Construction,http://www.rothwell-construction.com,4.10,OPEN,REVEAL,"Commercial construction, design-build, Blue Springs MO 64014, (816) 228-8808"
638,J&W Sales Co.,Olathe,Kansas,Construction,http://www.jandwsales.com,4.10,OPEN,REVEAL,"Wholesale distributor plumbing/HVAC/industrial, Olathe KS 66061, (913) 390-9808"
639,CGB Agforce Transport Services,Overland Park,Kansas,Transport/Logistics,http://www.agforcets.com,4.10,OPEN,REVEAL,"3PL logistics provider, Overland Park KS 66211, (877) 367-2324"
643,"Durvet, Inc.",Blue Springs,Missouri,Transport/Logistics,http://www.durvet.com,4.10,OPEN,REVEAL,"Animal health product distribution, since 1970, Blue Springs MO"
646,"CJR Construction Group, LLC",Raytown,Missouri,Construction,http://www.cjrcg.com,4.10,OPEN,REVEAL,"General contractor, minority-owned, Raytown MO 64133"
647,CMG Midwest - Construction Management Group,Kansas City,Missouri,Construction,http://www.cmgmidwest.com,4.10,OPEN,REVEAL,"General contracting/construction mgmt, Overland Park KS 66211, (816) 490-2907"
649,Renovating KC,Lenexa,Kansas,Construction,http://www.renokc.com,4.10,OPEN,REVEAL,"Design/remodeling, Inc. 5000 #139, Lenexa KS 66215, (913) 481-1236"
