company,city,state,segment,website,score,status,recommendation,notes
Cemsac Corporation,Ellisville,Missouri,Manufacturing,http://www.cemsac.com,4.5,OPEN,REVEAL,Specialty chemical distributor since 1978. Ellisville MO confirmed.
"Gladon Company, Inc.",St. Louis,Missouri,Construction,http://www.gladon.com,4.5,OPEN,REVEAL,Pool products manufacturer since 1971. St. Louis MO confirmed.
"EAGLE STONE & BRICK, INC.",Fenton,Missouri,Construction,http://www.eagle-stone.com,4.5,OPEN,REVEAL,Stone veneer distributor. Fenton MO confirmed. Also has Red Bud IL location.
Module Building Systems,St. Louis,Missouri,Construction,http://www.modulebuildingsystems.com,4.5,OPEN,REVEAL,Modular construction panels. St. Louis MO confirmed. Active $3.2M city project.
Ozark Mountain Railcar.,Kirbyville,Missouri,Transport/Logistics,http://www.ozarkmountainrailcar.com,4.5,OPEN,REVEAL,Railroad equipment brokerage. Kirbyville MO confirmed. Phone 417-336-2401.
Agile NYC Metro,Chesterfield,Missouri,Transport/Logistics,http://www.agile-network.com,4.5,OPEN,REVEAL,Transport/logistics solutions. HQ Chesterfield MO confirmed. 25+ years in business.
"SAUERWEIN CONSTRUCTION CO., INC.",Wichita,Kansas,Construction,http://www.sauerweinconstruction.com,4.5,OPEN,REVEAL,Construction company. Wichita KS confirmed. Website launching soon but 2025 copyright.
Scapers Dumpster Rentals,Saint Louis,Missouri,Transport/Logistics,http://www.scapersllc.com,4.5,OPEN,REVEAL,Dumpster rental services. St. Louis MO confirmed.
SMACNA St. Louis,St. Louis,Missouri,Construction,http://www.smacnastlouis.org,4.5,OPEN,SKIP,Trade association (Sheet Metal and Air Conditioning Contractors). Not an insurable business prospect.
Roeser Home Remodeling,Kirkwood,Missouri,Construction,http://www.roeserconstruction.com,4.5,OPEN,REVEAL,Home remodeling 30+ years. Kirkwood MO confirmed. Phone 314-822-0839.
Broadview Screen Company,Sunset Hills,Missouri,Construction,http://www.broadviewscreen.com,4.5,OPEN,REVEAL,Screen enclosure manufacturer 30+ years. St. Louis MO confirmed. Phone 314-842-8888.
Neal Group Construction LLC,Joplin,Missouri,Construction,http://www.nealgroupconstruction.com,4.5,OPEN,REVEAL,Building rehabilitation/restoration. Joplin MO confirmed. Phone 417-206-4910.
Wichita Area Builders Association,Wichita,Kansas,Construction,http://www.wabahome.com,4.5,OPEN,SKIP,Trade association for builders. Not an insurable business prospect.
Lumix,Fulton,Missouri,Construction,http://www.lumixelectrical.com,4.4,OPEN,REVEAL,Full service electrical contractor since 1996. Central/SW Missouri confirmed.
"Millman Lumber Company",St. Louis,Missouri,Construction,http://www.millmanlumber.com,4.4,OPEN,REVEAL,Building materials distributor since 1931. St. Louis MO HQ confirmed. 350+ employees.
"A.J. Brown, Inc.",Chesterfield,Missouri,Construction,http://www.ajbrown.com,4.4,OPEN,REVEAL,General contractor since 1991. Chesterfield MO confirmed. 20-49 employees.
"F, J. MURPHY & SON, INC.",Springfield,Missouri,Construction,http://www.fjmurphy.com,4.4,OPEN,SKIP,Located in Springfield ILLINOIS (not Missouri). Wrong territory.
Wholesale Siding Depot,Saint Louis,Missouri,Construction,http://www.wsdepot.com,4.4,OPEN,REVEAL,Exterior building products distributor since 1996. St. Louis MO confirmed.
MJ Products Company,Fenton,Missouri,Construction,http://www.mjproductsco.com,4.4,OPEN,REVEAL,Commercial bathroom products distributor/installer. Fenton MO confirmed.
"West Central Motor Freight, Inc.",Springfield,Missouri,Transport/Logistics,http://www.wcmfinc.com,4.4,OPEN,REVEAL,Freight brokerage since 1976. Springfield MO confirmed.
ALH Home Renovations,Roeland Park,Kansas,Construction,http://www.alhhomerenovations.com,4.4,OPEN,REVEAL,Residential remodeling. Roeland Park KS confirmed. KC metro area.
"National Retail Flooring Services, Inc.",St. Peters,Missouri,Construction,http://www.nrfsinc.com,4.4,OPEN,REVEAL,Nationwide flooring installation services. St. Peters MO area confirmed.
Lawson Brothers Floor Company,St. Louis,Missouri,Construction,http://www.lawsonbrothersfloor.com,4.4,OPEN,REVEAL,Flooring company since 1928. St. Louis MO confirmed. Phone 314-371-4400.
Liberty Home Solutions,Springfield,Missouri,Construction,http://www.libertyhomesolutions.com,4.4,OPEN,REVEAL,Residential remodeling. Springfield MO confirmed. Ozarks largest locally owned.
"MaRRS Distribution, LLC",Wildwood,Missouri,Transport/Logistics,http://www.marrsdistribution.com,4.4,OPEN,REVEAL,HVAC logistics/distribution. St. Louis area MO confirmed.
