company,city,state,segment,website,status,recommendation,notes
DEV INC.,Lenexa,Kansas,Construction,http://www.dev-inc.com,OPEN,REVEAL,Architecture/construction firm. 8807 Monrovia St Lenexa KS 66215.
"SMCI (Sheet Metal Contractors, Inc.)",De Soto,Missouri,Construction,http://www.smcihvac.com,OPEN,REVEAL,Family-owned HVAC/sheet metal contractor. 1661 Veterans Drive De Soto MO 63020.
"Five Star Trucking, LLC",Gardner,Kansas,Transport/Logistics,http://www.5startrucking.net,OPEN,REVEAL,Dump truck company 50+ trucks. 604 W Main St Gardner KS 66030. Owners Kit & Branden Powell.
Gelle Transportation LLC,North Kansas City,Missouri,Transport/Logistics,http://www.gelletransport.com,OPEN,REVEAL,Woman-owned trucking company. 310 Armour Rd Suite 209 NKC MO 64116.
Image Truck Partners,Bucyrus,Kansas,Transport/Logistics,http://www.imagetruckpartners.com,OPEN,REVEAL,Used commercial truck/trailer sales. 20105 Metcalf Ave Bucyrus KS 66013. President Todd Coppaken.
ATG-North America,Excelsior Springs,Missouri,Transport/Logistics,http://www.armstrongtransportkc.com,OPEN,REVEAL,Armstrong Transport Group. Freight brokerage/trucking. 1225 N Jesse James Rd Excelsior Springs MO 64024.
All Star Towing & Recovery Inc,Platte City,Missouri,Transport/Logistics,http://www.allstartowservice.com,OPEN,REVEAL,24hr towing & heavy hauling. Multiple MO/KS locations. Est 1999. 14 trucks.
Carlyle Van Lines,Warrensburg,Missouri,Transport/Logistics,http://www.carlylevanlines.com,OPEN,REVEAL,Full-service moving company. 801 W Young Ave Warrensburg MO 64093.
KC Home Solutions,Olathe,Kansas,Construction,http://www.kchomesolutions.com,OPEN,REVEAL,Custom homes & remodeling. 18901 W 158th St Olathe KS 66062. BBB A+ rated.
RK Contractors LLC,Kansas City,Missouri,Construction,http://www.rkcontractorskc.com,OPEN,REVEAL,Construction/restoration. 523 Gladstone Blvd KC MO 64124. Top 10 Small Biz 2022 KC Chamber.
Delve Freight Solutions,Overland Park,Kansas,Transport/Logistics,http://www.delvefreight.com,OPEN,REVEAL,Freight brokerage. 500+ carriers. Overland Park KS 66210.
"Brummel Lawn and Landscape LLC",Blue Springs,Missouri,Construction,http://www.brummellawn.com,CLOSED,SKIP,Acquired by Landscape Workshop in July 2025. No longer independent.
"Kelly Construction Group, Inc.",Grandview,Missouri,Construction,http://www.buildkelly.com,OPEN,REVEAL,KC general contractor. Healthcare/education/industrial. 4021 E 143rd St Grandview MO 64030.
"Pro Electric, L.C.",Kansas City,Kansas,Construction,http://www.proelectriclc.com,OPEN,REVEAL,Electrical contractor 45+ years. 510 Miami Ave KCK 66105. Also Mt Vernon MO office.
Jayger Construction LLC,Lenexa,Kansas,Construction,http://www.jaygerllc.com,OPEN,REVEAL,Commercial GC since 2008. 15010 W 106th St Lenexa KS 66215. Top 13% KS contractors.
"Trademark Electric, Inc.",Liberty,Missouri,Construction,http://www.kcelectrician.net,MERGED,SKIP,Merged with Allegiant Service Group. Identity changed — Apollo contacts may be stale.
Fine Cut Drilling And Sawing,Pleasant Hill,Missouri,Construction,http://www.finecutusa.com,OPEN,REVEAL,Concrete cutting/drilling. 19420 S SR7 Hwy Pleasant Hill MO 64080. 55 employees. Multi-state.
Stellar G Logistics,Olathe,Kansas,Transport/Logistics,http://www.stellargkc.com,OPEN,REVEAL,DSP parcel delivery service. PO Box 3234 Olathe KS 66063.
Alenco Inc,Lenexa,Kansas,Construction,http://www.alenconline.com,OPEN,REVEAL,Home remodeling since 1986. 16201 W 110th St Lenexa KS 66219. Windows/siding/bath.
The Logistics Store,Liberty,Missouri,Transport/Logistics,http://www.thelogisticsstore.com,OPEN,REVEAL,Supply chain consulting/freight mgmt. 26 Westwoods Dr Liberty MO 64068. Women-owned. Est 2009.
MAR Building Solutions,Lee's Summit,Missouri,Construction,http://www.marbuildingsolutions.com,OPEN,REVEAL,Metal building contractor since 1976. 1445 SE Broadway Dr Lee's Summit MO 64081.
Team DriveAway,Olathe,Kansas,Transport/Logistics,http://www.teamdriveaway.com,OPEN,REVEAL,Commercial truck driveaway. 401 W Frontier Ln #100 Olathe KS 66061. Large driver network.
Tallgrass Freight Company,Shawnee,Kansas,Transport/Logistics,http://www.tallgrassfreight.com,OPEN,REVEAL,Freight agent network. 6800 Hilltop Rd #202 Shawnee KS 66226.
Airtech Mechanical Services,Overland Park,Kansas,Construction,http://www.airtechkc.com,OPEN,REVEAL,HVAC contractor 50+ years. Overland Park KS 66214. Commercial & residential.
Sunnybrook,Lenexa,Kansas,Transport/Logistics,http://www.sunnybrooksoftware.com,OPEN,SKIP,SaaS TMS company (software for freight brokers) — not a transport/logistics operating company. Miscategorized in Apollo.
